Job_ID,Title,Category,Company,Location,Skills,Experience_Required,Salary_LPA,Description,parsed_skills,skills_joined,min_exp,max_exp,avg_exp,min_salary_lpa,max_salary_lpa,avg_salary_lpa,clean_description,composite_text,cluster
JOB00291,Marketing Analyst,Digital Marketing,Brennan-Johnson,Chennai,Marketing Strategy; Communication; Excel; PPC; Social Media,5-8 years,16-24,"Exciting opportunity for a Marketing Analyst at Brennan-Johnson. Must be proficient in Marketing Strategy, Communication, Excel, PPC, Social Media, with practical exposure to Marketing Strategy and Communication. You'll work in an agile environment solving real business problems. 5+ years experience preferred.","['Marketing Strategy', 'Communication', 'Excel', 'PPC', 'Social Media']",Marketing Strategy Communication Excel PPC Social Media,5.0,8.0,6.5,16.0,24.0,20.0,"exciting opportunity for a marketing analyst at brennan-johnson. must be proficient in marketing strategy, communication, excel, ppc, social media, with practical exposure to marketing strategy and communication. you'll work in an agile environment solving real business problems. 5+ years experience preferred.","Marketing Analyst exciting opportunity for a marketing analyst at brennan-johnson. must be proficient in marketing strategy, communication, excel, ppc, social media, with practical exposure to marketing strategy and communication. you'll work in an agile environment solving real business problems. 5+ years experience preferred. Marketing Strategy Communication Excel PPC Social Media",6
JOB00109,Senior Java Developer,Java Developer,Hancock and Sons,Delhi NCR,JUnit; Microservices; Hibernate; Java; Multithreading; Git; Spring Boot,2-5 years,5-12,"We are looking for a Senior Java Developer to join our growing team. The ideal candidate has hands-on experience with JUnit, Microservices, Hibernate, Java, Multithreading, Git, Spring Boot and can work independently on JUnit-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Git initiatives, and driving continuous improvement. 2+ years of relevant experience required.","['JUnit', 'Microservices', 'Hibernate', 'Java', 'Multithreading', 'Git', 'Spring Boot']",JUnit Microservices Hibernate Java Multithreading Git Spring Boot,2.0,5.0,3.5,5.0,12.0,8.5,"we are looking for a senior java developer to join our growing team. the ideal candidate has hands-on experience with junit, microservices, hibernate, java, multithreading, git, spring boot and can work independently on junit-driven projects. responsibilities include collaborating with cross-functional teams, contributing to git initiatives, and driving continuous improvement. 2+ years of relevant experience required.","Senior Java Developer we are looking for a senior java developer to join our growing team. the ideal candidate has hands-on experience with junit, microservices, hibernate, java, multithreading, git, spring boot and can work independently on junit-driven projects. responsibilities include collaborating with cross-functional teams, contributing to git initiatives, and driving continuous improvement. 2+ years of relevant experience required. JUnit Microservices Hibernate Java Multithreading Git Spring Boot",12
JOB00049,Frontend Developer,Web Development,Hickman Ltd,Bengaluru,MongoDB; React; CSS; Node.js; REST API,5-8 years,19-22,"Hickman Ltd is hiring a Frontend Developer for our Bengaluru office. You will use MongoDB, React, CSS, Node.js, REST API daily and help scale our React capabilities. We value strong fundamentals in Node.js and a collaborative mindset. Minimum 5 years of experience in a similar role.","['MongoDB', 'React', 'CSS', 'Node.js', 'REST API']",MongoDB React CSS Node.js REST API,5.0,8.0,6.5,19.0,22.0,20.5,"hickman ltd is hiring a frontend developer for our bengaluru office. you will use mongodb, react, css, node.js, rest api daily and help scale our react capabilities. we value strong fundamentals in node.js and a collaborative mindset. minimum 5 years of experience in a similar role.","Frontend Developer hickman ltd is hiring a frontend developer for our bengaluru office. you will use mongodb, react, css, node.js, rest api daily and help scale our react capabilities. we value strong fundamentals in node.js and a collaborative mindset. minimum 5 years of experience in a similar role. MongoDB React CSS Node.js REST API",2
JOB00017,Data Scientist,Data Science,James Group,Bengaluru,Excel; SQL; Statistics; Scikit-learn; Tableau; Pandas; Python,5-8 years,7-11,"Exciting opportunity for a Data Scientist at James Group. Must be proficient in Excel, SQL, Statistics, Scikit-learn, Tableau, Pandas, Python, with practical exposure to Statistics and Excel. You'll work in an agile environment solving real business problems. 5+ years experience preferred.","['Excel', 'SQL', 'Statistics', 'Scikit-learn', 'Tableau', 'Pandas', 'Python']",Excel SQL Statistics Scikit-learn Tableau Pandas Python,5.0,8.0,6.5,7.0,11.0,9.0,"exciting opportunity for a data scientist at james group. must be proficient in excel, sql, statistics, scikit-learn, tableau, pandas, python, with practical exposure to statistics and excel. you'll work in an agile environment solving real business problems. 5+ years experience preferred.","Data Scientist exciting opportunity for a data scientist at james group. must be proficient in excel, sql, statistics, scikit-learn, tableau, pandas, python, with practical exposure to statistics and excel. you'll work in an agile environment solving real business problems. 5+ years experience preferred. Excel SQL Statistics Scikit-learn Tableau Pandas Python",13
JOB00312,SEO Specialist,Digital Marketing,Parsons-Hall,Pune,PPC; Google Analytics; Communication; Email Marketing; Copywriting,6-9 years,11-14,"Exciting opportunity for a SEO Specialist at Parsons-Hall. Must be proficient in PPC, Google Analytics, Communication, Email Marketing, Copywriting, with practical exposure to Email Marketing and Copywriting. You'll work in an agile environment solving real business problems. 6+ years experience preferred.","['PPC', 'Google Analytics', 'Communication', 'Email Marketing', 'Copywriting']",PPC Google Analytics Communication Email Marketing Copywriting,6.0,9.0,7.5,11.0,14.0,12.5,"exciting opportunity for a seo specialist at parsons-hall. must be proficient in ppc, google analytics, communication, email marketing, copywriting, with practical exposure to email marketing and copywriting. you'll work in an agile environment solving real business problems. 6+ years experience preferred.","SEO Specialist exciting opportunity for a seo specialist at parsons-hall. must be proficient in ppc, google analytics, communication, email marketing, copywriting, with practical exposure to email marketing and copywriting. you'll work in an agile environment solving real business problems. 6+ years experience preferred. PPC Google Analytics Communication Email Marketing Copywriting",6
JOB00399,Mechanical Design Engineer,Mechanical Engineer,"Brown, Harris and Dougherty",Hyderabad,Six Sigma; Project Management; AutoCAD; Thermodynamics; Manufacturing; Quality Control,4-7 years,14-22,"Exciting opportunity for a Mechanical Design Engineer at Brown, Harris and Dougherty. Must be proficient in Six Sigma, Project Management, AutoCAD, Thermodynamics, Manufacturing, Quality Control, with practical exposure to Manufacturing and Quality Control. You'll work in an agile environment solving real business problems. 4+ years experience preferred.","['Six Sigma', 'Project Management', 'AutoCAD', 'Thermodynamics', 'Manufacturing', 'Quality Control']",Six Sigma Project Management AutoCAD Thermodynamics Manufacturing Quality Control,4.0,7.0,5.5,14.0,22.0,18.0,"exciting opportunity for a mechanical design engineer at brown, harris and dougherty. must be proficient in six sigma, project management, autocad, thermodynamics, manufacturing, quality control, with practical exposure to manufacturing and quality control. you'll work in an agile environment solving real business problems. 4+ years experience preferred.","Mechanical Design Engineer exciting opportunity for a mechanical design engineer at brown, harris and dougherty. must be proficient in six sigma, project management, autocad, thermodynamics, manufacturing, quality control, with practical exposure to manufacturing and quality control. you'll work in an agile environment solving real business problems. 4+ years experience preferred. Six Sigma Project Management AutoCAD Thermodynamics Manufacturing Quality Control",8
JOB00122,Java Developer,Java Developer,Johnson-Carlson,Chennai,JUnit; Spring Boot; Hibernate; Multithreading; Java; REST API,3-6 years,8-14,"Johnson-Carlson is hiring a Java Developer for our Chennai office. You will use JUnit, Spring Boot, Hibernate, Multithreading, Java, REST API daily and help scale our REST API capabilities. We value strong fundamentals in Spring Boot and a collaborative mindset. Minimum 3 years of experience in a similar role.","['JUnit', 'Spring Boot', 'Hibernate', 'Multithreading', 'Java', 'REST API']",JUnit Spring Boot Hibernate Multithreading Java REST API,3.0,6.0,4.5,8.0,14.0,11.0,"johnson-carlson is hiring a java developer for our chennai office. you will use junit, spring boot, hibernate, multithreading, java, rest api daily and help scale our rest api capabilities. we value strong fundamentals in spring boot and a collaborative mindset. minimum 3 years of experience in a similar role.","Java Developer johnson-carlson is hiring a java developer for our chennai office. you will use junit, spring boot, hibernate, multithreading, java, rest api daily and help scale our rest api capabilities. we value strong fundamentals in spring boot and a collaborative mindset. minimum 3 years of experience in a similar role. JUnit Spring Boot Hibernate Multithreading Java REST API",12
JOB00288,Marketing Analyst,Digital Marketing,Morgan-Schwartz,Ahmedabad,Excel; Email Marketing; PPC; Marketing Strategy; Social Media; Content Marketing,8-11 years,8-11,"We are looking for a Marketing Analyst to join our growing team. The ideal candidate has hands-on experience with Excel, Email Marketing, PPC, Marketing Strategy, Social Media, Content Marketing and can work independently on Content Marketing-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Email Marketing initiatives, and driving continuous improvement. 8+ years of relevant experience required.","['Excel', 'Email Marketing', 'PPC', 'Marketing Strategy', 'Social Media', 'Content Marketing']",Excel Email Marketing PPC Marketing Strategy Social Media Content Marketing,8.0,11.0,9.5,8.0,11.0,9.5,"we are looking for a marketing analyst to join our growing team. the ideal candidate has hands-on experience with excel, email marketing, ppc, marketing strategy, social media, content marketing and can work independently on content marketing-driven projects. responsibilities include collaborating with cross-functional teams, contributing to email marketing initiatives, and driving continuous improvement. 8+ years of relevant experience required.","Marketing Analyst we are looking for a marketing analyst to join our growing team. the ideal candidate has hands-on experience with excel, email marketing, ppc, marketing strategy, social media, content marketing and can work independently on content marketing-driven projects. responsibilities include collaborating with cross-functional teams, contributing to email marketing initiatives, and driving continuous improvement. 8+ years of relevant experience required. Excel Email Marketing PPC Marketing Strategy Social Media Content Marketing",6
JOB00139,Java Developer,Java Developer,"Harvey, Davis and Crane",Delhi NCR,Spring Boot; Hibernate; Microservices; Git; Java,6-9 years,9-11,"Harvey, Davis and Crane is hiring a Java Developer for our Delhi NCR office. You will use Spring Boot, Hibernate, Microservices, Git, Java daily and help scale our Spring Boot capabilities. We value strong fundamentals in Java and a collaborative mindset. Minimum 6 years of experience in a similar role.","['Spring Boot', 'Hibernate', 'Microservices', 'Git', 'Java']",Spring Boot Hibernate Microservices Git Java,6.0,9.0,7.5,9.0,11.0,10.0,"harvey, davis and crane is hiring a java developer for our delhi ncr office. you will use spring boot, hibernate, microservices, git, java daily and help scale our spring boot capabilities. we value strong fundamentals in java and a collaborative mindset. minimum 6 years of experience in a similar role.","Java Developer harvey, davis and crane is hiring a java developer for our delhi ncr office. you will use spring boot, hibernate, microservices, git, java daily and help scale our spring boot capabilities. we value strong fundamentals in java and a collaborative mindset. minimum 6 years of experience in a similar role. Spring Boot Hibernate Microservices Git Java",12
JOB00479,UI/UX Designer,Graphic Designer,Young-Martinez,Chennai,Creativity; Photoshop; Branding; InDesign; Typography,4-7 years,10-16,"We are looking for a UI/UX Designer to join our growing team. The ideal candidate has hands-on experience with Creativity, Photoshop, Branding, InDesign, Typography and can work independently on Typography-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to InDesign initiatives, and driving continuous improvement. 4+ years of relevant experience required.","['Creativity', 'Photoshop', 'Branding', 'InDesign', 'Typography']",Creativity Photoshop Branding InDesign Typography,4.0,7.0,5.5,10.0,16.0,13.0,"we are looking for a ui/ux designer to join our growing team. the ideal candidate has hands-on experience with creativity, photoshop, branding, indesign, typography and can work independently on typography-driven projects. responsibilities include collaborating with cross-functional teams, contributing to indesign initiatives, and driving continuous improvement. 4+ years of relevant experience required.","UI/UX Designer we are looking for a ui/ux designer to join our growing team. the ideal candidate has hands-on experience with creativity, photoshop, branding, indesign, typography and can work independently on typography-driven projects. responsibilities include collaborating with cross-functional teams, contributing to indesign initiatives, and driving continuous improvement. 4+ years of relevant experience required. Creativity Photoshop Branding InDesign Typography",0
