ID,Category,Years_Experience,Skills,Resume
RES0285,Business Analyst,3,Communication; Requirements Gathering; Tableau; Agile; Power BI,"Business Analyst specialist with 3 years in the industry, holding a B.Com from City College. Core competencies include Communication, Requirements Gathering, Tableau, Agile, Power BI. Led initiatives using Agile that improved key metrics, and collaborated cross-functionally leveraging Tableau. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0543,Graphic Designer,2,Figma; InDesign; Typography; Branding; Creativity,"Motivated Graphic Designer candidate (2 years experience, M.Sc, Technical Institute) proficient in Figma, InDesign, Typography, Branding, Creativity. Hands-on experience building solutions with Creativity and Figma. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0132,Java Developer,2,Git; JUnit; Hibernate; Java; Spring Boot; REST API; SQL; Microservices,"Motivated Java Developer candidate (2 years experience, B.Sc, Institute of Technology) proficient in Git, JUnit, Hibernate, Java, Spring Boot, REST API, SQL, Microservices. Hands-on experience building solutions with REST API and Hibernate. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: PMP."
RES0113,Android Development,12,MVVM; Android SDK; Git; Jetpack Compose; Material Design; Firebase; REST API; Kotlin; Java,"Motivated Android Development candidate (12 years experience, MBA, State University) proficient in MVVM, Android SDK, Git, Jetpack Compose, Material Design, Firebase, REST API, Kotlin, Java. Hands-on experience building solutions with Firebase and Android SDK. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0523,Graphic Designer,6,InDesign; Illustrator; Photoshop; UI/UX; Figma,"Result-driven Graphic Designer professional with 6 years of experience. Skilled in InDesign, Illustrator, Photoshop, UI/UX, Figma. Completed B.E. from Technical Institute. Worked on projects involving UI/UX and Illustrator, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0275,Network Security Engineer,5,Firewalls; Cryptography; Vulnerability Assessment; IDS/IPS; Penetration Testing; Risk Assessment; Linux; Python,"Network Security Engineer specialist with 5 years in the industry, holding a B.Tech from National College. Core competencies include Firewalls, Cryptography, Vulnerability Assessment, IDS/IPS, Penetration Testing, Risk Assessment, Linux, Python. Led initiatives using Penetration Testing that improved key metrics, and collaborated cross-functionally leveraging Vulnerability Assessment. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0415,Sales,8,Cold Calling; Sales Strategy; Client Relationship Management; Excel; Negotiation; Communication; Lead Generation,"Result-driven Sales professional with 8 years of experience. Skilled in Cold Calling, Sales Strategy, Client Relationship Management, Excel, Negotiation, Communication, Lead Generation. Completed MCA from Technical Institute. Worked on projects involving Communication and Cold Calling, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0095,Android Development,5,Material Design; Git; SQLite; Firebase; Jetpack Compose; Java,"Result-driven Android Development professional with 5 years of experience. Skilled in Material Design, Git, SQLite, Firebase, Jetpack Compose, Java. Completed BCA from National College. Worked on projects involving Java and SQLite, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: AWS Certified Associate."
RES0020,Data Science,6,Statistics; Python; Excel; Machine Learning; Data Visualization; NumPy,"Result-driven Data Science professional with 6 years of experience. Skilled in Statistics, Python, Excel, Machine Learning, Data Visualization, NumPy. Completed B.Com from City College. Worked on projects involving NumPy and Machine Learning, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0507,Civil Engineer,2,Project Management; Structural Analysis; Surveying; AutoCAD; Cost Estimation; Construction Management,"Civil Engineer specialist with 2 years in the industry, holding a MBA from Institute of Technology. Core competencies include Project Management, Structural Analysis, Surveying, AutoCAD, Cost Estimation, Construction Management. Led initiatives using Cost Estimation that improved key metrics, and collaborated cross-functionally leveraging Project Management. Passionate about continuous learning and staying current with industry trends. Certifications: None."
