Job_ID,Title,Category,Company,Location,Skills,Experience_Required,Salary_LPA,Description
JOB00291,Marketing Analyst,Digital Marketing,Brennan-Johnson,Chennai,Marketing Strategy; Communication; Excel; PPC; Social Media,5-8 years,16-24,"Exciting opportunity for a Marketing Analyst at Brennan-Johnson. Must be proficient in Marketing Strategy, Communication, Excel, PPC, Social Media, with practical exposure to Marketing Strategy and Communication. You'll work in an agile environment solving real business problems. 5+ years experience preferred."
JOB00109,Senior Java Developer,Java Developer,Hancock and Sons,Delhi NCR,JUnit; Microservices; Hibernate; Java; Multithreading; Git; Spring Boot,2-5 years,5-12,"We are looking for a Senior Java Developer to join our growing team. The ideal candidate has hands-on experience with JUnit, Microservices, Hibernate, Java, Multithreading, Git, Spring Boot and can work independently on JUnit-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Git initiatives, and driving continuous improvement. 2+ years of relevant experience required."
JOB00049,Frontend Developer,Web Development,Hickman Ltd,Bengaluru,MongoDB; React; CSS; Node.js; REST API,5-8 years,19-22,"Hickman Ltd is hiring a Frontend Developer for our Bengaluru office. You will use MongoDB, React, CSS, Node.js, REST API daily and help scale our React capabilities. We value strong fundamentals in Node.js and a collaborative mindset. Minimum 5 years of experience in a similar role."
JOB00017,Data Scientist,Data Science,James Group,Bengaluru,Excel; SQL; Statistics; Scikit-learn; Tableau; Pandas; Python,5-8 years,7-11,"Exciting opportunity for a Data Scientist at James Group. Must be proficient in Excel, SQL, Statistics, Scikit-learn, Tableau, Pandas, Python, with practical exposure to Statistics and Excel. You'll work in an agile environment solving real business problems. 5+ years experience preferred."
JOB00312,SEO Specialist,Digital Marketing,Parsons-Hall,Pune,PPC; Google Analytics; Communication; Email Marketing; Copywriting,6-9 years,11-14,"Exciting opportunity for a SEO Specialist at Parsons-Hall. Must be proficient in PPC, Google Analytics, Communication, Email Marketing, Copywriting, with practical exposure to Email Marketing and Copywriting. You'll work in an agile environment solving real business problems. 6+ years experience preferred."
JOB00399,Mechanical Design Engineer,Mechanical Engineer,"Brown, Harris and Dougherty",Hyderabad,Six Sigma; Project Management; AutoCAD; Thermodynamics; Manufacturing; Quality Control,4-7 years,14-22,"Exciting opportunity for a Mechanical Design Engineer at Brown, Harris and Dougherty. Must be proficient in Six Sigma, Project Management, AutoCAD, Thermodynamics, Manufacturing, Quality Control, with practical exposure to Manufacturing and Quality Control. You'll work in an agile environment solving real business problems. 4+ years experience preferred."
JOB00122,Java Developer,Java Developer,Johnson-Carlson,Chennai,JUnit; Spring Boot; Hibernate; Multithreading; Java; REST API,3-6 years,8-14,"Johnson-Carlson is hiring a Java Developer for our Chennai office. You will use JUnit, Spring Boot, Hibernate, Multithreading, Java, REST API daily and help scale our REST API capabilities. We value strong fundamentals in Spring Boot and a collaborative mindset. Minimum 3 years of experience in a similar role."
JOB00288,Marketing Analyst,Digital Marketing,Morgan-Schwartz,Ahmedabad,Excel; Email Marketing; PPC; Marketing Strategy; Social Media; Content Marketing,8-11 years,8-11,"We are looking for a Marketing Analyst to join our growing team. The ideal candidate has hands-on experience with Excel, Email Marketing, PPC, Marketing Strategy, Social Media, Content Marketing and can work independently on Content Marketing-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Email Marketing initiatives, and driving continuous improvement. 8+ years of relevant experience required."
JOB00139,Java Developer,Java Developer,"Harvey, Davis and Crane",Delhi NCR,Spring Boot; Hibernate; Microservices; Git; Java,6-9 years,9-11,"Harvey, Davis and Crane is hiring a Java Developer for our Delhi NCR office. You will use Spring Boot, Hibernate, Microservices, Git, Java daily and help scale our Spring Boot capabilities. We value strong fundamentals in Java and a collaborative mindset. Minimum 6 years of experience in a similar role."
JOB00479,UI/UX Designer,Graphic Designer,Young-Martinez,Chennai,Creativity; Photoshop; Branding; InDesign; Typography,4-7 years,10-16,"We are looking for a UI/UX Designer to join our growing team. The ideal candidate has hands-on experience with Creativity, Photoshop, Branding, InDesign, Typography and can work independently on Typography-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to InDesign initiatives, and driving continuous improvement. 4+ years of relevant experience required."
JOB00427,Structural Engineer,Civil Engineer,Johnson-Wood,Hyderabad,Cost Estimation; Construction Management; AutoCAD; Structural Analysis; Project Management,5-8 years,13-19,"Exciting opportunity for a Structural Engineer at Johnson-Wood. Must be proficient in Cost Estimation, Construction Management, AutoCAD, Structural Analysis, Project Management, with practical exposure to Structural Analysis and AutoCAD. You'll work in an agile environment solving real business problems. 5+ years experience preferred."
JOB00264,Business Analyst,Business Analyst,"Lloyd, Mckinney and Collins",Ahmedabad,Excel; Power BI; SQL; Tableau; Stakeholder Management; Data Visualization,3-6 years,8-16,"We are looking for a Business Analyst to join our growing team. The ideal candidate has hands-on experience with Excel, Power BI, SQL, Tableau, Stakeholder Management, Data Visualization and can work independently on Data Visualization-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Excel initiatives, and driving continuous improvement. 3+ years of relevant experience required."
JOB00243,Cybersecurity Analyst,Network Security Engineer,Gonzales-Harrison,Noida,Cryptography; Firewalls; Network Protocols; SIEM; Risk Assessment; Vulnerability Assessment; Python; Linux,4-7 years,18-27,"We are looking for a Cybersecurity Analyst to join our growing team. The ideal candidate has hands-on experience with Cryptography, Firewalls, Network Protocols, SIEM, Risk Assessment, Vulnerability Assessment, Python, Linux and can work independently on Risk Assessment-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Python initiatives, and driving continuous improvement. 4+ years of relevant experience required."
JOB00093,Android Developer,Android Development,"Garcia, Humphrey and Baker",Noida,Firebase; Kotlin; REST API; Git; Material Design; MVVM; Android SDK; Jetpack Compose,8-11 years,14-22,"We are looking for a Android Developer to join our growing team. The ideal candidate has hands-on experience with Firebase, Kotlin, REST API, Git, Material Design, MVVM, Android SDK, Jetpack Compose and can work independently on Android SDK-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Jetpack Compose initiatives, and driving continuous improvement. 8+ years of relevant experience required."
JOB00423,Structural Engineer,Civil Engineer,"Downs, Morris and Maddox",Pune,Construction Management; Structural Analysis; Revit; Project Management,1-4 years,4-6,"Exciting opportunity for a Structural Engineer at Downs, Morris and Maddox. Must be proficient in Construction Management, Structural Analysis, Revit, Project Management, with practical exposure to Structural Analysis and Revit. You'll work in an agile environment solving real business problems. 1+ years experience preferred."
JOB00054,Full Stack Developer,Web Development,"Robinson, Jones and Welch",Noida,React; Responsive Design; Express.js; HTML; REST API; CSS,3-6 years,18-20,"We are looking for a Full Stack Developer to join our growing team. The ideal candidate has hands-on experience with React, Responsive Design, Express.js, HTML, REST API, CSS and can work independently on REST API-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Express.js initiatives, and driving continuous improvement. 3+ years of relevant experience required."
JOB00023,Machine Learning Engineer,Data Science,Perez Inc,Remote,TensorFlow; Data Visualization; NumPy; SQL; Excel; Machine Learning; A/B Testing,7-10 years,5-10,"Perez Inc is hiring a Machine Learning Engineer for our Remote office. You will use TensorFlow, Data Visualization, NumPy, SQL, Excel, Machine Learning, A/B Testing daily and help scale our NumPy capabilities. We value strong fundamentals in Excel and a collaborative mindset. Minimum 7 years of experience in a similar role."
JOB00184,Site Reliability Engineer,DevOps Engineer,"Higgins, Strickland and Martin",Mumbai,AWS; Linux; Docker; Ansible; Shell Scripting; Terraform,0-3 years,13-19,"Exciting opportunity for a Site Reliability Engineer at Higgins, Strickland and Martin. Must be proficient in AWS, Linux, Docker, Ansible, Shell Scripting, Terraform, with practical exposure to AWS and Ansible. You'll work in an agile environment solving real business problems. 0+ years experience preferred."
JOB00216,Cybersecurity Analyst,Network Security Engineer,"Carlson, Hooper and Wall",Chennai,Firewalls; Penetration Testing; Network Protocols; Linux; Cryptography; Python; IDS/IPS,8-11 years,7-15,"Exciting opportunity for a Cybersecurity Analyst at Carlson, Hooper and Wall. Must be proficient in Firewalls, Penetration Testing, Network Protocols, Linux, Cryptography, Python, IDS/IPS, with practical exposure to IDS/IPS and Python. You'll work in an agile environment solving real business problems. 8+ years experience preferred."
JOB00147,Python Developer,Python Developer,Robinson-Brock,Kolkata,Pandas; Git; Flask; Unit Testing; Celery; Python,5-8 years,16-25,"We are looking for a Python Developer to join our growing team. The ideal candidate has hands-on experience with Pandas, Git, Flask, Unit Testing, Celery, Python and can work independently on Celery-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Git initiatives, and driving continuous improvement. 5+ years of relevant experience required."
JOB00446,Structural Engineer,Civil Engineer,"Osborn, Gaines and Davis",Noida,Construction Management; Surveying; Revit; Structural Analysis; Cost Estimation; AutoCAD,7-10 years,6-10,"Osborn, Gaines and Davis is hiring a Structural Engineer for our Noida office. You will use Construction Management, Surveying, Revit, Structural Analysis, Cost Estimation, AutoCAD daily and help scale our Revit capabilities. We value strong fundamentals in Construction Management and a collaborative mindset. Minimum 7 years of experience in a similar role."
JOB00249,Business Analyst,Business Analyst,Johnston-Hines,Noida,Communication; Excel; Data Visualization; Agile; Process Improvement; Power BI,2-5 years,14-24,"We are looking for a Business Analyst to join our growing team. The ideal candidate has hands-on experience with Communication, Excel, Data Visualization, Agile, Process Improvement, Power BI and can work independently on Communication-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Process Improvement initiatives, and driving continuous improvement. 2+ years of relevant experience required."
JOB00273,Business Analyst,Business Analyst,Morgan-French,Chennai,Process Improvement; Requirements Gathering; Data Visualization; Power BI; Stakeholder Management; Communication,3-6 years,10-20,"Morgan-French is hiring a Business Analyst for our Chennai office. You will use Process Improvement, Requirements Gathering, Data Visualization, Power BI, Stakeholder Management, Communication daily and help scale our Data Visualization capabilities. We value strong fundamentals in Communication and a collaborative mindset. Minimum 3 years of experience in a similar role."
JOB00314,Marketing Analyst,Digital Marketing,Byrd-Le,Mumbai,Content Marketing; Social Media; PPC; Copywriting; Excel; Email Marketing; SEO; Communication,6-9 years,10-12,"Byrd-Le is hiring a Marketing Analyst for our Mumbai office. You will use Content Marketing, Social Media, PPC, Copywriting, Excel, Email Marketing, SEO, Communication daily and help scale our Copywriting capabilities. We value strong fundamentals in Social Media and a collaborative mindset. Minimum 6 years of experience in a similar role."
JOB00186,DevOps Engineer,DevOps Engineer,Johnston-Odonnell,Kolkata,Kubernetes; Docker; CI/CD; Monitoring; Linux; Git; Shell Scripting; Terraform,5-8 years,15-25,"We are looking for a DevOps Engineer to join our growing team. The ideal candidate has hands-on experience with Kubernetes, Docker, CI/CD, Monitoring, Linux, Git, Shell Scripting, Terraform and can work independently on CI/CD-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Kubernetes initiatives, and driving continuous improvement. 5+ years of relevant experience required."
JOB00376,Account Manager,Sales,"Pugh, Henderson and Moon",Chennai,Cold Calling; CRM; Lead Generation; Communication,5-8 years,14-16,"We are looking for a Account Manager to join our growing team. The ideal candidate has hands-on experience with Cold Calling, CRM, Lead Generation, Communication and can work independently on Lead Generation-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Cold Calling initiatives, and driving continuous improvement. 5+ years of relevant experience required."
JOB00008,Data Analyst,Data Science,"Henderson, Ramirez and Lewis",Noida,SQL; Python; Excel; TensorFlow; Scikit-learn,1-4 years,18-21,"Exciting opportunity for a Data Analyst at Henderson, Ramirez and Lewis. Must be proficient in SQL, Python, Excel, TensorFlow, Scikit-learn, with practical exposure to TensorFlow and SQL. You'll work in an agile environment solving real business problems. 1+ years experience preferred."
JOB00426,Structural Engineer,Civil Engineer,"Brown, Romero and Collins",Bengaluru,Cost Estimation; Structural Analysis; Construction Management; Project Management; Surveying; AutoCAD,6-9 years,7-10,"We are looking for a Structural Engineer to join our growing team. The ideal candidate has hands-on experience with Cost Estimation, Structural Analysis, Construction Management, Project Management, Surveying, AutoCAD and can work independently on Structural Analysis-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to AutoCAD initiatives, and driving continuous improvement. 6+ years of relevant experience required."
